Time,Time Code,Country Name,Country Code,Control of Corruption: Estimate [CC.EST],Control of Corruption: Number of Sources [CC.NO.SRC],Control of Corruption: Percentile Rank [CC.PER.RNK],"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval [CC.PER.RNK.LOWER]","Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval [CC.PER.RNK.UPPER]",Control of Corruption: Standard Error [CC.STD.ERR],Government Effectiveness: Estimate [GE.EST],Government Effectiveness: Number of Sources [GE.NO.SRC],Government Effectiveness: Percentile Rank [GE.PER.RNK],"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval [GE.PER.RNK.LOWER]","Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval [GE.PER.RNK.UPPER]",Government Effectiveness: Standard Error [GE.STD.ERR],Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Political Stability and Absence of Violence/Terrorism: Number of Sources [PV.NO.SRC],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval [PV.PER.RNK.LOWER]","Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval [PV.PER.RNK.UPPER]",Political Stability and Absence of Violence/Terrorism: Standard Error [PV.STD.ERR],Regulatory Quality: Estimate [RQ.EST],Regulatory Quality: Number of Sources [RQ.NO.SRC],Regulatory Quality: Percentile Rank [RQ.PER.RNK],"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval [RQ.PER.RNK.LOWER]","Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval [RQ.PER.RNK.UPPER]",Regulatory Quality: Standard Error [RQ.STD.ERR],Rule of Law: Estimate [RL.EST],Rule of Law: Number of Sources [RL.NO.SRC],Rule of Law: Percentile Rank [RL.PER.RNK],"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval [RL.PER.RNK.LOWER]","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval [RL.PER.RNK.UPPER]",Rule of Law: Standard Error [RL.STD.ERR],Voice and Accountability: Estimate [VA.EST],Voice and Accountability: Number of Sources [VA.NO.SRC],Voice and Accountability: Percentile Rank [VA.PER.RNK],"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval [VA.PER.RNK.LOWER]","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval [VA.PER.RNK.UPPER]",Voice and Accountability: Standard Error [VA.STD.ERR]
2020,YR2020,Liechtenstein,LIE,1.9594247341156,2,95.7142868041992,90.9523773193359,100,0.26276308298111,1.76180100440979,2,96.1904754638672,84.7619018554688,100,0.357047557830811,1.66911089420319,4,99.5283050537109,94.3396224975586,100,0.247393816709518,1.62055170536041,3,94.7619018554688,83.3333358764648,99.523811340332,0.329134196043015,1.71637678146362,2,95.2380981445313,89.0476226806641,99.523811340332,0.184136435389519,1.25917327404022,3,89.8550720214844,78.260871887207,98.5507278442383,0.173526406288147
2020,YR2020,Lithuania,LTU,0.778642654418945,11,78.5714263916016,67.6190490722656,81.4285736083984,0.149983510375023,1.01503241062164,8,81.4285736083984,73.3333358764648,89.0476226806641,0.220126405358315,0.921403408050537,6,78.7735824584961,64.1509399414063,94.3396224975586,0.231230169534683,1.08017456531525,7,83.3333358764648,73.3333358764648,91.4285736083984,0.226835578680038,0.95027482509613,11,80.9523773193359,74.7619018554688,85.7142868041992,0.143190294504166,1.00444412231445,9,80.6763305664063,72.4637680053711,88.4057998657227,0.106953039765358
2020,YR2020,Luxembourg,LUX,2.023770570755,8,96.6666641235352,94.7619018554688,100,0.177002340555191,1.79281723499298,7,96.6666641235352,89.523811340332,99.523811340332,0.231866836547852,1.21239566802979,6,93.3962249755859,73.5849075317383,99.0566024780273,0.231230169534683,1.83817708492279,6,98.5714263916016,90.9523773193359,100,0.260185420513153,1.73846471309662,8,95.7142868041992,90.476188659668,99.523811340332,0.161185085773468,1.49723064899445,7,96.6183547973633,93.2367172241211,99.5169067382813,0.119024693965912
2020,YR2020,"Macao SAR, China",MAC,0.770509839057922,3,77.6190490722656,63.8095245361328,84.2857131958008,0.226566731929779,1.07522451877594,2,83.8095245361328,68.5714263916016,94.2857131958008,0.357047557830811,1.13746881484985,2,89.1509399414063,66.9811325073242,99.0566024780273,0.320069164037704,1.73721349239349,2,96.1904754638672,83.3333358764648,100,0.376031339168549,0.812058627605438,3,76.1904754638672,67.1428604125977,83.3333358764648,0.183039724826813,-0.29005491733551,1,37.1980667114258,28.9855079650879,52.6570053100586,0.263182103633881
2020,YR2020,Madagascar,MDG,-1.00964295864105,12,16.6666660308838,10.4761905670166,24.2857151031494,0.141583487391472,-1.0527606010437,9,13.3333330154419,7.61904764175415,25.7142848968506,0.208131983876228,-0.509343922138214,6,26.4150943756104,16.0377349853516,43.3962249755859,0.232469826936722,-0.811572015285492,9,20.9523811340332,10.9523811340332,32.3809509277344,0.170945569872856,-0.879376113414764,12,20.4761905670166,12.8571424484253,28.0952377319336,0.140423581004143,-0.261799514293671,12,37.6811599731445,33.8164253234863,43.4782600402832,0.12043946236372
2020,YR2020,Malawi,MWI,-0.392753958702087,14,40,28.5714282989502,47.1428565979004,0.136787533760071,-0.818331599235535,11,19.5238094329834,11.9047622680664,33.8095245361328,0.195723712444305,-0.118913285434246,6,43.8679237365723,26.4150943756104,55.6603775024414,0.232469826936722,-0.785046398639679,10,22.8571434020996,11.4285717010498,32.8571434020996,0.16931614279747,-0.278625726699829,14,44.2857131958008,32.3809509277344,52.3809509277344,0.136406391859055,0.00411719735711813,13,46.3768119812012,38.6473426818848,53.6231880187988,0.120229728519917
2020,YR2020,Malaysia,MYS,0.229109853506088,10,60.476188659668,55.7142868041992,65.2380981445313,0.14365266263485,1.02247262001038,6,81.9047622680664,70.9523773193359,89.523811340332,0.243895024061203,0.124463096261024,8,51.886791229248,39.6226425170898,60.8490562438965,0.208693087100983,0.666613459587097,8,72.8571395874023,61.9047622680664,81.4285736083984,0.208771586418152,0.572214603424072,9,68.5714263916016,61.4285697937012,76.1904754638672,0.150670066475868,-0.155352875590324,10,40.0966186523438,35.2657012939453,48.7922706604004,0.126931667327881
2020,YR2020,Maldives,MDV,-0.339506417512894,6,43.3333320617676,25.7142848968506,57.6190490722656,0.248517796397209,-0.130924180150032,4,48.5714302062988,20,69.0476226806641,0.398215413093567,0.362981379032135,3,57.5471687316895,44.3396224975586,72.6415100097656,0.27869239449501,-0.588554084300995,4,30.9523811340332,10.4761905670166,50,0.335054785013199,-0.303693801164627,6,42.8571434020996,20.4761905670166,59.523811340332,0.332086175680161,-0.323318839073181,5,36.2318840026855,29.9516906738281,44.9275360107422,0.186267867684364
2020,YR2020,Mali,MLI,-0.80155736207962,13,24.2857151031494,16.1904754638672,31.9047622680664,0.149585053324699,-1.18722105026245,11,11.4285717010498,6.1904764175415,17.1428565979004,0.195723712444305,-2.14628767967224,5,3.77358484268188,1.41509437561035,5.66037750244141,0.237614139914513,-0.673809766769409,9,28.0952377319336,14.7619047164917,37.6190490722656,0.178533092141151,-0.950111389160156,13,18.5714282989502,10.9523811340332,24.2857151031494,0.142925947904587,-0.735177457332611,12,28.5024147033691,21.7391300201416,33.3333320617676,0.125046834349632
2020,YR2020,Malta,MLT,0.342205673456192,7,62.8571434020996,57.1428565979004,73.8095245361328,0.186064779758453,0.994383156299591,6,80.9523773193359,70.476188659668,89.523811340332,0.248671069741249,0.998400986194611,5,82.0754699707031,66.9811325073242,96.698112487793,0.237614139914513,1.21012890338898,5,85.7142868041992,73.3333358764648,94.7619018554688,0.285126984119415,0.883519530296326,7,78.0952377319336,70.9523773193359,85.2380981445313,0.168315201997757,1.11863851547241,6,85.0241546630859,76.8115921020508,93.7198104858398,0.119080349802971
