"ID";"Geslacht";"Persoonskenmerken";"UitstromersHoMetEnZonderDiploma";"Arbeidsmarktpositie";"Studierichting";"Peilmoment";"Perioden";"UitstromersHo_1"
"2145489";"3000   ";"A051735";"A043049";"A028814";"A042614";"A029078";"2015SJ00";"120"
"2145504";"3000   ";"A051735";"A043049";"A028814";"A042614";"A029079";"2015SJ00";"80"
"2145519";"3000   ";"A051735";"A043049";"A028814";"A042614";"A029080";"2015SJ00";"70"
"2145534";"3000   ";"A051735";"A043049";"A028814";"A042614";"A029081";"2015SJ00";"420"
"2145549";"3000   ";"A051735";"A043049";"A028814";"A042614";"A029082";"2015SJ00";"210"
"2145579";"3000   ";"A051735";"A043049";"A028814";"A042615";"A029077";"2015SJ00";"0"
"2145594";"3000   ";"A051735";"A043049";"A028814";"A042615";"A029078";"2015SJ00";"0"
"2145609";"3000   ";"A051735";"A043049";"A028814";"A042615";"A029079";"2015SJ00";"0"
"2145624";"3000   ";"A051735";"A043049";"A028814";"A042615";"A029080";"2015SJ00";"0"
"2145639";"3000   ";"A051735";"A043049";"A028814";"A042615";"A029081";"2015SJ00";"0"
"2145654";"3000   ";"A051735";"A043049";"A028814";"A042615";"A029082";"2015SJ00";"0"
"2145684";"3000   ";"A051735";"A043049";"A028814";"A042616";"A029077";"2015SJ00";"30"
"2145699";"3000   ";"A051735";"A043049";"A028814";"A042616";"A029078";"2015SJ00";"20"
"2145714";"3000   ";"A051735";"A043049";"A028814";"A042616";"A029079";"2015SJ00";"20"
"2145729";"3000   ";"A051735";"A043049";"A028814";"A042616";"A029080";"2015SJ00";"20"
"2145744";"3000   ";"A051735";"A043049";"A028814";"A042616";"A029081";"2015SJ00";"90"
"2145759";"3000   ";"A051735";"A043049";"A028814";"A042616";"A029082";"2015SJ00";"30"
"2145789";"3000   ";"A051735";"A043049";"A028814";"A042617";"A029077";"2015SJ00";"20"
"2145804";"3000   ";"A051735";"A043049";"A028814";"A042617";"A029078";"2015SJ00";"20"
"2145819";"3000   ";"A051735";"A043049";"A028814";"A042617";"A029079";"2015SJ00";"20"
"2145834";"3000   ";"A051735";"A043049";"A028814";"A042617";"A029080";"2015SJ00";"20"
"2145849";"3000   ";"A051735";"A043049";"A028814";"A042617";"A029081";"2015SJ00";"270"
"2145864";"3000   ";"A051735";"A043049";"A028814";"A042617";"A029082";"2015SJ00";"140"
"2145894";"3000   ";"A051735";"A043049";"A028814";"A042618";"A029077";"2015SJ00";"0"
"2145909";"3000   ";"A051735";"A043049";"A028814";"A042618";"A029078";"2015SJ00";"0"
"2145924";"3000   ";"A051735";"A043049";"A028814";"A042618";"A029079";"2015SJ00";"0"
"2145939";"3000   ";"A051735";"A043049";"A028814";"A042618";"A029080";"2015SJ00";"0"
"2145954";"3000   ";"A051735";"A043049";"A028814";"A042618";"A029081";"2015SJ00";"0"
"2145969";"3000   ";"A051735";"A043049";"A028814";"A042618";"A029082";"2015SJ00";"0"
"2145999";"3000   ";"A051735";"A043049";"A028815";"T001332";"A029077";"2015SJ00";"230"
"2146014";"3000   ";"A051735";"A043049";"A028815";"T001332";"A029078";"2015SJ00";"220"
"2146029";"3000   ";"A051735";"A043049";"A028815";"T001332";"A029079";"2015SJ00";"190"
"2146044";"3000   ";"A051735";"A043049";"A028815";"T001332";"A029080";"2015SJ00";"200"
"2146059";"3000   ";"A051735";"A043049";"A028815";"T001332";"A029081";"2015SJ00";"320"
"2146074";"3000   ";"A051735";"A043049";"A028815";"T001332";"A029082";"2015SJ00";"210"
"2146104";"3000   ";"A051735";"A043049";"A028815";"A042609";"A029077";"2015SJ00";"10"
"2146119";"3000   ";"A051735";"A043049";"A028815";"A042609";"A029078";"2015SJ00";"10"
"2146134";"3000   ";"A051735";"A043049";"A028815";"A042609";"A029079";"2015SJ00";"10"
"2146149";"3000   ";"A051735";"A043049";"A028815";"A042609";"A029080";"2015SJ00";"10"
"2146164";"3000   ";"A051735";"A043049";"A028815";"A042609";"A029081";"2015SJ00";"10"
"2146179";"3000   ";"A051735";"A043049";"A028815";"A042609";"A029082";"2015SJ00";"10"
"2146209";"3000   ";"A051735";"A043049";"A028815";"A042610";"A029077";"2015SJ00";"10"
"2146224";"3000   ";"A051735";"A043049";"A028815";"A042610";"A029078";"2015SJ00";"10"
"2146239";"3000   ";"A051735";"A043049";"A028815";"A042610";"A029079";"2015SJ00";"10"
"2146254";"3000   ";"A051735";"A043049";"A028815";"A042610";"A029080";"2015SJ00";"0"
"2146269";"3000   ";"A051735";"A043049";"A028815";"A042610";"A029081";"2015SJ00";"10"
"2146284";"3000   ";"A051735";"A043049";"A028815";"A042610";"A029082";"2015SJ00";"0"
"2146314";"3000   ";"A051735";"A043049";"A028815";"A042611";"A029077";"2015SJ00";"0"
"2146329";"3000   ";"A051735";"A043049";"A028815";"A042611";"A029078";"2015SJ00";"0"
"2146344";"3000   ";"A051735";"A043049";"A028815";"A042611";"A029079";"2015SJ00";"0"
"2146359";"3000   ";"A051735";"A043049";"A028815";"A042611";"A029080";"2015SJ00";"0"
"2146374";"3000   ";"A051735";"A043049";"A028815";"A042611";"A029081";"2015SJ00";"0"
"2146389";"3000   ";"A051735";"A043049";"A028815";"A042611";"A029082";"2015SJ00";"0"
"2146419";"3000   ";"A051735";"A043049";"A028815";"A042612";"A029077";"2015SJ00";"60"
"2146434";"3000   ";"A051735";"A043049";"A028815";"A042612";"A029078";"2015SJ00";"60"
"2146449";"3000   ";"A051735";"A043049";"A028815";"A042612";"A029079";"2015SJ00";"50"
"2146464";"3000   ";"A051735";"A043049";"A028815";"A042612";"A029080";"2015SJ00";"60"
"2146479";"3000   ";"A051735";"A043049";"A028815";"A042612";"A029081";"2015SJ00";"80"
"2146494";"3000   ";"A051735";"A043049";"A028815";"A042612";"A029082";"2015SJ00";"60"
"2146524";"3000   ";"A051735";"A043049";"A028815";"A042613";"A029077";"2015SJ00";"10"
"2146539";"3000   ";"A051735";"A043049";"A028815";"A042613";"A029078";"2015SJ00";"0"
"2146554";"3000   ";"A051735";"A043049";"A028815";"A042613";"A029079";"2015SJ00";"10"
"2146569";"3000   ";"A051735";"A043049";"A028815";"A042613";"A029080";"2015SJ00";"10"
"2146584";"3000   ";"A051735";"A043049";"A028815";"A042613";"A029081";"2015SJ00";"10"
"2146599";"3000   ";"A051735";"A043049";"A028815";"A042613";"A029082";"2015SJ00";"10"
"2146629";"3000   ";"A051735";"A043049";"A028815";"A042614";"A029077";"2015SJ00";"100"
"2146644";"3000   ";"A051735";"A043049";"A028815";"A042614";"A029078";"2015SJ00";"100"
"2146659";"3000   ";"A051735";"A043049";"A028815";"A042614";"A029079";"2015SJ00";"80"
"2146674";"3000   ";"A051735";"A043049";"A028815";"A042614";"A029080";"2015SJ00";"100"
"2146689";"3000   ";"A051735";"A043049";"A028815";"A042614";"A029081";"2015SJ00";"160"
"2146704";"3000   ";"A051735";"A043049";"A028815";"A042614";"A029082";"2015SJ00";"90"
"2146734";"3000   ";"A051735";"A043049";"A028815";"A042615";"A029077";"2015SJ00";"0"
"2146749";"3000   ";"A051735";"A043049";"A028815";"A042615";"A029078";"2015SJ00";"0"
"2146764";"3000   ";"A051735";"A043049";"A028815";"A042615";"A029079";"2015SJ00";"0"
"2146779";"3000   ";"A051735";"A043049";"A028815";"A042615";"A029080";"2015SJ00";"0"
"2146794";"3000   ";"A051735";"A043049";"A028815";"A042615";"A029081";"2015SJ00";"0"
"2146809";"3000   ";"A051735";"A043049";"A028815";"A042615";"A029082";"2015SJ00";"0"
"2146839";"3000   ";"A051735";"A043049";"A028815";"A042616";"A029077";"2015SJ00";"20"
"2146854";"3000   ";"A051735";"A043049";"A028815";"A042616";"A029078";"2015SJ00";"20"
"2146869";"3000   ";"A051735";"A043049";"A028815";"A042616";"A029079";"2015SJ00";"20"
"2146884";"3000   ";"A051735";"A043049";"A028815";"A042616";"A029080";"2015SJ00";"20"
"2146899";"3000   ";"A051735";"A043049";"A028815";"A042616";"A029081";"2015SJ00";"30"
"2146914";"3000   ";"A051735";"A043049";"A028815";"A042616";"A029082";"2015SJ00";"20"
"2146944";"3000   ";"A051735";"A043049";"A028815";"A042617";"A029077";"2015SJ00";"20"
"2146959";"3000   ";"A051735";"A043049";"A028815";"A042617";"A029078";"2015SJ00";"20"
"2146974";"3000   ";"A051735";"A043049";"A028815";"A042617";"A029079";"2015SJ00";"20"
"2146989";"3000   ";"A051735";"A043049";"A028815";"A042617";"A029080";"2015SJ00";"20"
"2147004";"3000   ";"A051735";"A043049";"A028815";"A042617";"A029081";"2015SJ00";"30"
"2147019";"3000   ";"A051735";"A043049";"A028815";"A042617";"A029082";"2015SJ00";"20"
"2147049";"3000   ";"A051735";"A043049";"A028815";"A042618";"A029077";"2015SJ00";"0"
"2147064";"3000   ";"A051735";"A043049";"A028815";"A042618";"A029078";"2015SJ00";"0"
"2147079";"3000   ";"A051735";"A043049";"A028815";"A042618";"A029079";"2015SJ00";"0"
"2147094";"3000   ";"A051735";"A043049";"A028815";"A042618";"A029080";"2015SJ00";"0"
"2147109";"3000   ";"A051735";"A043049";"A028815";"A042618";"A029081";"2015SJ00";"0"
"2147124";"3000   ";"A051735";"A043049";"A028815";"A042618";"A029082";"2015SJ00";"0"
"2147154";"3000   ";"A051735";"A043049";"A028816";"T001332";"A029077";"2015SJ00";"2120"
"2147169";"3000   ";"A051735";"A043049";"A028816";"T001332";"A029078";"2015SJ00";"850"
"2147184";"3000   ";"A051735";"A043049";"A028816";"T001332";"A029079";"2015SJ00";"570"
"2147199";"3000   ";"A051735";"A043049";"A028816";"T001332";"A029080";"2015SJ00";"440"
"2147214";"3000   ";"A051735";"A043049";"A028816";"T001332";"A029081";"2015SJ00";"250"
"2147229";"3000   ";"A051735";"A043049";"A028816";"T001332";"A029082";"2015SJ00";"280"
"2147259";"3000   ";"A051735";"A043049";"A028816";"A042609";"A029077";"2015SJ00";"50"
"2147274";"3000   ";"A051735";"A043049";"A028816";"A042609";"A029078";"2015SJ00";"30"
"2147289";"3000   ";"A051735";"A043049";"A028816";"A042609";"A029079";"2015SJ00";"20"
"2147304";"3000   ";"A051735";"A043049";"A028816";"A042609";"A029080";"2015SJ00";"20"
"2147319";"3000   ";"A051735";"A043049";"A028816";"A042609";"A029081";"2015SJ00";"10"
"2147334";"3000   ";"A051735";"A043049";"A028816";"A042609";"A029082";"2015SJ00";"10"
"2147364";"3000   ";"A051735";"A043049";"A028816";"A042610";"A029077";"2015SJ00";"80"
"2147379";"3000   ";"A051735";"A043049";"A028816";"A042610";"A029078";"2015SJ00";"30"
"2147394";"3000   ";"A051735";"A043049";"A028816";"A042610";"A029079";"2015SJ00";"20"
"2147409";"3000   ";"A051735";"A043049";"A028816";"A042610";"A029080";"2015SJ00";"10"
"2147424";"3000   ";"A051735";"A043049";"A028816";"A042610";"A029081";"2015SJ00";"10"
"2147439";"3000   ";"A051735";"A043049";"A028816";"A042610";"A029082";"2015SJ00";"10"
"2147469";"3000   ";"A051735";"A043049";"A028816";"A042611";"A029077";"2015SJ00";"0"
"2147484";"3000   ";"A051735";"A043049";"A028816";"A042611";"A029078";"2015SJ00";"0"
"2147499";"3000   ";"A051735";"A043049";"A028816";"A042611";"A029079";"2015SJ00";"0"
"2147514";"3000   ";"A051735";"A043049";"A028816";"A042611";"A029080";"2015SJ00";"0"
